"RT..NO.","BCR","State","RT..NAME","Patch.Density","Largest.Patch.Index","Aggregation.Index","km"
55121,9,"Nevada","DARROUGHS HOT SPGS",2.12,57.91,94.92,5
55130,9,"Nevada","DESERT NWR",1.03,92.1,98.08,5
55143,9,"Nevada","RUBY VALLEY 2",6.67,19.57,85.86,5
55901,9,"Nevada","COMINS LAKE",6.4,49.94,87.78,5
55902,9,"Nevada","HUMBOLDT NF",1.18,87.71,97.79,5
55903,9,"Nevada","SHELDON NWR",0.7,97.62,98.75,5
55904,9,"Nevada","CARSON RIVER",3.55,56.02,92.25,5
55905,9,"Nevada","AUSTIN",3.67,35.86,92.1,5
55906,33,"Nevada","ASH MEADOWS",2.96,60,91.89,5
55907,9,"Nevada","VIRGIN CREEK",2.45,61.5,96.12,5
55908,9,"Nevada","MEADOW VALLY",3.91,41.32,90.32,5
58001,14,"New Hampshire","PETERBOROUGH",19.93,5.66,72.89,5
58002,30,"New Hampshire","BRENTWOOD",24.44,3.03,72.33,5
58003,14,"New Hampshire","FITZWILLIAM",16.29,4.91,74.09,5
58004,30,"New Hampshire","DOVER",28.73,2.99,68.64,5
58005,14,"New Hampshire","HOPKINTON",18.52,3.15,72.18,5
58006,30,"New Hampshire","EPSOM",20.2,3.95,73.03,5
58007,14,"New Hampshire","CONCORD",20.14,8.69,71.51,5
58008,30,"New Hampshire","STRAFFORD",22.45,6.19,70.93,5
58009,14,"New Hampshire","CANTERBURY",18.31,19,73.18,5
58010,14,"New Hampshire","GILMANTN I W",19.45,24.5,72.74,5
58011,14,"New Hampshire","WILMOT",13.66,8.81,75.42,5
58012,14,"New Hampshire","MT CHOCORUA",14.13,6.05,76.52,5
58013,14,"New Hampshire","WALPOLE",14.15,5.01,74.64,5
58014,14,"New Hampshire","MARLOW",16,3.34,73.82,5
58015,14,"New Hampshire","LEMPSTER",15.53,2.92,74.3,5
58016,14,"New Hampshire","CRAWFORD NOT",7.14,18.75,86.45,5
58017,14,"New Hampshire","JEFFERSON HL",8.11,7.21,84.06,5
58018,14,"New Hampshire","FRANCONIA",8.6,8.58,83.76,5
58019,14,"New Hampshire","MILAN",11.13,3.6,79.54,5
58020,14,"New Hampshire","STRATFORD",12.71,5.27,78.96,5
58021,14,"New Hampshire","DIXVIL NOTCH",13.52,5.05,78.03,5
58022,14,"New Hampshire","CLARKSVILLE",10.7,3.88,80.25,5
58023,14,"New Hampshire","GLEN",11.58,11.24,79.21,5
58102,30,"New Hampshire","EAST KINGSTON",25.13,2.24,72.18,5
58116,14,"New Hampshire","JEFFERS NTCH",6.86,19.23,86.75,5
59001,30,"New Jersey","WOODBURY HGT",18.09,2.03,75.39,5
59002,30,"New Jersey","GREENWICH",13.95,2.81,78.69,5
59003,30,"New Jersey","SIX POINTS",15.17,9.07,79.63,5
59004,30,"New Jersey","DEEPWATER",16.59,9.32,77.83,5
59005,30,"New Jersey","TOMS RIVER",17.15,5.19,76.57,5
59006,30,"New Jersey","ALBION",17.71,5.54,76.01,5
59007,30,"New Jersey","ANCORA",17.04,2.82,76.26,5
59008,30,"New Jersey","MASONVILLE",24.56,3.19,70.15,5
59009,30,"New Jersey","BENNETT MILL",16.99,2.48,77.09,5
59010,29,"New Jersey","SANDBROOK",18.1,6.78,75.69,5
59011,30,"New Jersey","HOLMANSVILLE",21.14,2.18,71.87,5
59012,30,"New Jersey","CLARKSVILLE",21.63,2.24,73.4,5
59013,30,"New Jersey","NEW BEDFORD",21.37,1.48,72.65,5
59014,29,"New Jersey","CROTON",14.5,7.52,79.28,5
59015,29,"New Jersey","ROBBINSVILLE",21.79,2.36,72.35,5
59016,28,"New Jersey","HOPE",15.3,11.01,75.24,5
59017,29,"New Jersey","PASSAIC",16.84,11.4,73.73,5
59018,28,"New Jersey","MIDVALE",10.07,27.1,84.45,5
59019,28,"New Jersey","KEMAH LAKE",14.14,23.43,76.95,5
59020,28,"New Jersey","BLOOMSBURY",13.81,5.11,78.41,5
59021,28,"New Jersey","HIGH POINT",14,21.98,78.41,5
59022,28,"New Jersey","DOVER",14.48,26.38,78.95,5
59023,29,"New Jersey","POTTERSVILLE",20.71,11.8,75.23,5
59024,29,"New Jersey","GILLETTE",19.69,10.21,73.46,5
59025,30,"New Jersey","KEYPORT",21.08,6.29,72.22,5
59026,30,"New Jersey","CRANBURY",20.76,2.4,73.4,5
59027,30,"New Jersey","ROOSEVELT",17.88,2.25,76.13,5
59028,30,"New Jersey","FRIENDSHIP",11.95,12.14,82.2,5
59029,30,"New Jersey","POMONA",15.73,3.62,78.48,5
59030,30,"New Jersey","OCEAN CITY",7.85,43.31,89.25,5
59031,30,"New Jersey","VILLAS",14.14,9.36,81.1,5
59032,30,"New Jersey","SPRAGUETOWN",11.71,8.83,81.21,5
59033,30,"New Jersey","MT MISERY",17.97,5.11,76.89,5
59104,30,"New Jersey","PEDRICKTOWN",17.21,7.45,76.87,5
59107,30,"New Jersey","WINSLOW",17.48,2.91,75.88,5
59109,30,"New Jersey","BENNETT MILL 2",17.59,2.8,77.13,5
59111,30,"New Jersey","HOLMANSVILLE 2",21.12,2.05,71.96,5
59114,29,"New Jersey","CROTON 2",14.54,6.29,79.3,5
59116,28,"New Jersey","RAMSEYSBURG",15.66,11.13,74.44,5
59131,30,"New Jersey","DEL HAVEN",13.72,9,81.57,5
59132,30,"New Jersey","SPRAGUETOWN 2",12.6,8.68,80.63,5
59231,30,"New Jersey","CAPE MAY CH",13.53,9.34,81.69,5
60001,16,"New Mexico","FARMINGTON",10,12.66,73.04,5
60002,16,"New Mexico","NAGEESI",9.17,23.36,74.16,5
60003,16,"New Mexico","CEBOLLA",7.87,38.86,86.07,5
60004,16,"New Mexico","OJO SARCO",6.84,79.71,90.44,5
60005,18,"New Mexico","FARLEY",2.72,88.02,94.34,5
60006,18,"New Mexico","GRENVILLE",1.88,53.07,96.54,5
60007,16,"New Mexico","CROWNPOINT",7.68,22.65,80.36,5
60008,16,"New Mexico","TORREON",8.87,32.43,76.13,5
60009,16,"New Mexico","LA CIENEGA",4.84,29.87,89.06,5
60010,16,"New Mexico","PECOS",8.05,26,86.63,5
60012,18,"New Mexico","TUCUMCARI",8.45,13.1,77.86,5
60013,16,"New Mexico","FENCE LAKE",7.35,19.64,79.85,5
60014,16,"New Mexico","CORREO",5.64,62.52,84.37,5
60015,16,"New Mexico","VALENCIA",7.51,38.04,82.05,5
60016,16,"New Mexico","CLAUNCH",8.37,23.69,81.98,5
60017,18,"New Mexico","COOLEY LAKE",5.24,72.64,84.99,5
60018,18,"New Mexico","FLOYD",2.13,77.65,94.03,5
60019,16,"New Mexico","HORSE SPGS",5.94,25.31,84.01,5
60020,16,"New Mexico","HORSE MTN",6.15,32.52,82.58,5
60021,35,"New Mexico","SAN ANTONIO",4.49,39.15,87.51,5
60022,35,"New Mexico","CARRIZOZO",5.71,33.75,85.28,5
60023,35,"New Mexico","ROSWELL",2.07,77.25,95.31,5
60024,18,"New Mexico","CAPROCK",3.25,52.33,91.24,5
60025,35,"New Mexico","GAGE",1.35,96.64,97.38,5
60026,35,"New Mexico","DEMING",3.85,77.11,89.25,5
60027,35,"New Mexico","JORNADA",2.69,74.65,94.28,5
60028,35,"New Mexico","CLOUDCROFT",2.11,76.82,95.77,5
60029,35,"New Mexico","LAKEWOOD",2.88,82.89,94.16,5
60030,18,"New Mexico","MALJAMAR",4.16,48.45,92.36,5
60031,35,"New Mexico","RODEO",2.26,88.97,94.63,5
60051,16,"New Mexico","SHIPROCK",5.59,48.8,86.18,5
60052,16,"New Mexico","COUNSELOR",5.78,58.95,87.57,5
60053,16,"New Mexico","STINKING LK.",7.78,12.21,85.27,5
60054,16,"New Mexico","ANGEL FIRE",5.99,44.94,90.83,5
60055,18,"New Mexico","RATON",1.21,88.1,98.24,5
60056,18,"New Mexico","SEDAN",2.93,91.89,93.69,5
60057,16,"New Mexico","MCGAFFEY",6.2,46.25,86.53,5
60058,16,"New Mexico","MT. TAYLOR",6.94,65.95,86.95,5
60059,16,"New Mexico","VALLECITOS",8.96,76.02,87.96,5
60060,16,"New Mexico","GALLINAS",6.61,69.8,90.25,5
60061,18,"New Mexico","VARIADERO",3.89,46.38,88.03,5
60062,18,"New Mexico","ROSEBUD",3.1,80.02,92.39,5
60063,16,"New Mexico","QUEMADO",8.45,49.25,78.69,5
60064,16,"New Mexico","DATIL",5.58,29.07,84.39,5
60065,16,"New Mexico","MOUNTAINAIR",4.08,56.75,89.48,5
60066,16,"New Mexico","CORONA EAST",3.12,55.91,93.5,5
60067,16,"New Mexico","PASTURA",1.91,86.55,95.6,5
60068,18,"New Mexico","CLOVIS",0.96,15.2,93.26,5
60069,34,"New Mexico","RESERVE",2.06,88.32,95.9,5
60070,34,"New Mexico","VICKS PEAK",4.84,43.26,89.37,5
60071,35,"New Mexico","LABORCITA",4.15,29.48,89.74,5
60072,35,"New Mexico","CAPITAN MTN.",5.22,32.95,85.29,5
60073,35,"New Mexico","BITTER LAKE",1.81,77.76,95.54,5
60074,18,"New Mexico","PEP",4.4,44.01,86.37,5
60075,35,"New Mexico","RED ROCK",1.54,95.7,97.09,5
60076,34,"New Mexico","EMORY PASS",4.68,56.91,91.4,5
60077,35,"New Mexico","MESILLA",1.99,69.26,95.17,5
60078,35,"New Mexico","PINON",8.04,24.31,80.8,5
60079,35,"New Mexico","QUEEN",5.16,67.14,87.33,5
60080,18,"New Mexico","HOBBS",7.24,30.7,83.35,5
60081,34,"New Mexico","HATCHET PEAK",3.08,88.38,92.76,5
60082,35,"New Mexico","COLUMBUS",2.68,60.49,93.35,5
60101,16,"New Mexico","AZTEC",10.73,11.94,72.64,5
60107,16,"New Mexico","BLUEWATER LAKE",2.83,87.69,94.59,5
60111,18,"New Mexico","SABINOSO",3.19,25.15,89.25,5
60112,18,"New Mexico","LOGAN",5.29,51.64,80.77,5
60114,16,"New Mexico","CERRO VERDE",4.68,83.13,89.48,5
60115,35,"New Mexico","ESCONDIDA",4.26,84.3,92.72,5
60116,16,"New Mexico","CLAUNCH 2",8.63,27.27,81.78,5
60121,35,"New Mexico","ENGLE",1.99,93.44,95.99,5
60126,35,"New Mexico","LAKE VALLEY",4.39,85.18,89.7,5
60130,18,"New Mexico","SAN SIMON",0.6,90.11,99.3,5
60153,16,"New Mexico","DULCE",9.59,36.62,81.9,5
60154,16,"New Mexico","ANGEL FIRE 2",6.18,46.92,90.43,5
60155,18,"New Mexico","MAXWELL",4.17,70.41,92.83,5
60163,16,"New Mexico","SALT LAKE",7.74,48.29,78.65,5
60164,34,"New Mexico","MAGDALENA",5.98,74.42,83.64,5
60166,16,"New Mexico","GALLO ARROYO",2.98,62.63,93.68,5
60201,16,"New Mexico","LA PLATA",8.7,24.51,77.98,5
60221,35,"New Mexico","SUNSHINE WLL",2.3,92.57,95.37,5
60263,16,"New Mexico","SALT LAKE 2",7.75,48.33,78.65,5
60900,16,"New Mexico","CAPULIN",9.75,10.25,79.63,5
61001,30,"New York","WESTHAMPTON",18.01,12.71,76.56,5
61002,30,"New York","MANORVILLE",19.9,8.94,74.03,5
61003,30,"New York","HUNTINGTON",15.77,20.86,78.76,5
61004,30,"New York","JONES BEACH",13.65,15,79.14,5
61005,30,"New York","HAUPPAUGE",21.24,5.37,69.29,5
61006,30,"New York","BEDFORD",13.79,21.45,78.57,5
61007,28,"New York","SOMERS",16.4,8.59,78.18,5
61008,13,"New York","RHINEBECK",13.05,7.43,81.38,5
61009,13,"New York","HIGHLAND",16.95,7.52,77.24,5
61010,28,"New York","WARWICK",14.18,8.99,77.08,5
61011,28,"New York","MIDDLETOWN",17.33,7.19,74.3,5
61012,28,"New York","RIFTON",17.94,6.9,75.32,5
61013,28,"New York","WESTBROOKVLE",13.03,14.41,77.67,5
61014,13,"New York","W SHOKAN",13.82,26.75,80.25,5
61015,28,"New York","MT HOPE",19.68,2.84,72.12,5
61016,13,"New York","AUSTERLITZ",16.19,11.34,76.72,5
61017,14,"New York","PETERSBURG",10.69,25.35,82.23,5
61018,13,"New York","CATSKILLS",21.34,6.58,73.08,5
61019,13,"New York","GHENT",20.1,3.58,74.09,5
61020,13,"New York","BALLSTON LK",23.51,2,71.43,5
61021,28,"New York","DURHAM",13.91,21.72,81.16,5
61022,28,"New York","MEDUSA",16.97,21.96,75.9,5
61023,28,"New York","COOPERSTOWN",14.58,15.91,77.82,5
61024,28,"New York","MERIDALE",13.7,11.67,78.07,5
61025,28,"New York","COBLESKILL",18.93,4.46,73.42,5
61026,13,"New York","DUANESBURG",16.71,6.63,74.78,5
61027,28,"New York","S BERNE",16.86,20.02,74.19,5
61028,28,"New York","PLATTE COVE",14.14,29.32,79.8,5
61029,28,"New York","LAURENS",16.86,9.51,76.31,5
61030,28,"New York","WHITNEY PT",15.16,1.31,75.31,5
61031,28,"New York","COVENTRYVILE",13.66,19.91,78.4,5
61032,28,"New York","MCDONOUGH",14.54,11.97,78.96,5
61033,28,"New York","CORBETTSVILE",14.47,11.38,76.98,5
61034,28,"New York","ONEONTA",14.71,6.89,77.33,5
61035,13,"New York","ORISKANY FLS",21.37,3.32,76.01,5
61036,28,"New York","OXFORD",12.8,9.81,78.39,5
61037,13,"New York","CAYUGA",17.5,5.48,77.78,5
61038,28,"New York","LISLE",16.72,2.03,74.6,5
61039,28,"New York","E NEWARK",16.55,1.52,74,5
61040,13,"New York","ROMULUS",12.35,12.22,82.28,5
61041,28,"New York","DRYDEN",15.95,8.01,78.29,5
61042,13,"New York","MACDOUGALL",13.63,10.16,82.14,5
61043,13,"New York","TRUMANSBURG",22.75,9.59,73.98,5
61044,28,"New York","VESTAL CTR",17.08,2.91,73.17,5
61045,28,"New York","PHILLIPS CR",13.91,25.7,80.15,5
61046,28,"New York","SWAIN",13.99,22.16,79.56,5
61047,13,"New York","ORLEANS",12.99,10.54,81.03,5
61048,13,"New York","RUSHVILLE",10.77,12.61,82.81,5
61049,13,"New York","BRANCHPORT",16.4,7.48,76.83,5
61050,13,"New York","CANADICE L",16.58,6.72,77.26,5
61051,13,"New York","MENDON",16.03,5.36,78.72,5
61052,13,"New York","MT MORRIS",14.57,6.52,78.59,5
61053,13,"New York","HAMBURG",22.58,2.13,73.88,5
61054,13,"New York","WEST SENECA",17.51,2.17,77.69,5
61055,28,"New York","GAINESVILLE",15.77,2.19,78.49,5
61056,28,"New York","CATTARAUGUS",11.07,63.57,83.61,5
61057,13,"New York","EAST JAVA",16.92,17.04,77.82,5
61058,13,"New York","CASTILE",14.89,2.67,79.22,5
61059,13,"New York","RANDOLPH",12.17,21.62,82.17,5
61060,28,"New York","CENTERVILLE",13.9,12.43,80.26,5
61061,13,"New York","SHERIDAN",15.54,18.35,79.09,5
61062,13,"New York","CHERRY HILL",13.19,18.2,80.89,5
61063,13,"New York","NASHVILLE",14.89,3.86,78.64,5
61064,13,"New York","ST JOHNSBURG",11.75,3.37,82.47,5
61065,13,"New York","E YOUNGSTOWN",8.26,20.55,86.47,5
61066,13,"New York","BYRON",12.06,5.16,82.34,5
61067,13,"New York","CHURCHVILLE",13.85,2.53,80.58,5
61068,13,"New York","PENFIELD",15.31,28.42,81.81,5
61069,13,"New York","N VICTORY",18.51,2.83,76.16,5
61070,13,"New York","CICERO CTR",19.68,5.56,76.14,5
61071,13,"New York","WATERTOWN",18.39,2.64,77.53,5
61072,13,"New York","PULASKI",21.08,1.84,75.38,5
61073,14,"New York","MCKEEVER",16.21,32.2,79.91,5
61074,13,"New York","ALDER CREEK",21.07,12.17,75.11,5
61075,14,"New York","KASOAG",20.39,19.1,75.95,5
61076,14,"New York","HIGHMARKET",16,14.54,77.92,5
61077,14,"New York","NUMBER FOUR",17.01,15.79,78.48,5
61078,13,"New York","N WILMURT",17.23,15.42,77.91,5
61079,13,"New York","ONEIDA",20.7,12.23,75.42,5
61080,13,"New York","CLINTON",23.43,1.93,72.67,5
61081,14,"New York","BLUE RIDGE N",11.53,14.59,83.25,5
61082,14,"New York","OLD FORGE",14.27,9.37,79.67,5
61083,14,"New York","BLUE RIDGE S",11.08,23.74,83,5
61084,14,"New York","NEWCOMB",11.85,16.77,81.24,5
61085,14,"New York","SPECULATOR",11.45,20.96,83.32,5
61086,14,"New York","HOPE FALLS",12.62,28.42,80.66,5
61087,14,"New York","INLET",11.91,7.65,81.16,5
61088,14,"New York","NORTH RIVER",11.92,33.18,81.62,5
61089,13,"New York","SALEM",16.43,4.2,77.37,5
61090,13,"New York","ARGYLE",16.97,6.07,76.33,5
61091,13,"New York","NORTH EASTON",16.59,3.47,77.16,5
61092,14,"New York","S HORICON",15.24,16.29,76.63,5
61093,14,"New York","WARRENSBURG",14.38,19.13,76.99,5
61094,13,"New York","FOWLER",18.36,28.2,80.06,5
61095,13,"New York","WADDINGTON",18.99,3.49,75.57,5
61096,13,"New York","OGDENSBURG",13.68,12.88,81.27,5
61097,14,"New York","DEGRASSE",9.55,79.8,89.77,5
61098,14,"New York","WANAKENA",8.63,60.33,89.63,5
61099,14,"New York","DEXTER LAKE",14.85,46.79,82.04,5
61100,14,"New York","GABRIELS",10.88,11.93,84.5,5
61101,14,"New York","SABATTIS",12.71,17.48,82.99,5
61102,13,"New York","PARISHVILLE",18.92,28.8,78.09,5
61103,13,"New York","HOPKINTON",19.03,10.32,76.15,5
61104,14,"New York","TUPPER LAKE",14.19,11.63,80.61,5
61105,13,"New York","WEST BANGOR",16.9,16.71,79.41,5
61106,14,"New York","UNDERWOOD",11.04,9.83,81.48,5
61107,14,"New York","DANNEMORA",14.2,9.29,79.91,5
61108,13,"New York","ELLENBURG",15.6,11.15,79.24,5
61109,13,"New York","WILLSBORO",11.71,20.99,81.59,5
61110,13,"New York","NAPLES",15.05,8.59,78.01,5
61111,28,"New York","S VANDALIA",12.67,25.64,83.22,5
61112,14,"New York","SCIOTA",14.33,24.82,80.96,5
61113,13,"New York","PHILADELPHIA",14.68,10.49,80.75,5
61114,13,"New York","BALMAT",15.96,12.88,81.82,5
61120,13,"New York","CRESCENT",23.21,1.56,71.38,5
61121,28,"New York","DOWNSVILLE",10.35,28.84,85.52,5
61123,28,"New York","MILFORD",16.17,5.76,76.47,5
61146,28,"New York","SWAIN 2",13.7,22.63,79.84,5
61154,13,"New York","HARRIS HILL",17.7,3.01,77.7,5
61182,14,"New York","OLD FORGE 2",14.15,9.91,80.07,5
61199,14,"New York","ST REGIS FLS",11.99,19.17,84.32,5
61206,14,"New York","UNDERWOOD 2",11.08,8.33,80.89,5
61207,30,"New York","PURDY",12.24,17.86,80.03,5
61212,28,"New York","ORANGE LAKE",18.13,6.42,75.11,5
61301,14,"New York","HORSESHOE L.",12.75,14.43,82.93,5
63001,27,"North Carolina","SHALLOTTE",17.93,4.3,75.29,5
63002,27,"North Carolina","MERRIMON",9.82,15.66,84.38,5
63003,27,"North Carolina","MYRTLE GROVE",12.27,27.28,84.04,5
63004,27,"North Carolina","WARDS CORNER",14.22,2.54,78.8,5
63005,27,"North Carolina","HALLSBORO",12.71,26.36,81.49,5
63006,27,"North Carolina","FAIRMONT",12.95,4.24,81.69,5
63007,27,"North Carolina","MASHOES",1.77,38.24,95.46,5
63008,27,"North Carolina","ARAPAHOE",13.32,8.1,79.59,5
63009,27,"North Carolina","BEARGRASS",9.31,8.17,85.31,5
63010,27,"North Carolina","SPEED",9.12,11.45,85.38,5
63011,27,"North Carolina","KINSTON",15.14,5.86,79.61,5
63012,29,"North Carolina","JORDAN",28.85,0.67,68.08,5
63013,27,"North Carolina","ROSE",23.26,1.26,73.82,5
63014,29,"North Carolina","SAXAPAHAW",17.5,8.65,77.6,5
63015,29,"North Carolina","CLIMAX",18.27,5.13,77.11,5
63016,29,"North Carolina","MOORESVILLE",20.68,18.35,76.14,5
63017,29,"North Carolina","OAKBORO",19.52,2.44,74.5,5
63018,29,"North Carolina","CHERRYVILLE",18.75,14.42,75.72,5
63019,28,"North Carolina","JONAS RIDGE",14.63,44.51,78.97,5
63020,28,"North Carolina","BREVARD",11.96,37.04,83.56,5
63021,28,"North Carolina","CRAVEN GAP",15.31,15.07,78.45,5
63022,28,"North Carolina","FONTANA",7.68,41.08,88.93,5
63023,27,"North Carolina","CALIFORNIA",16.24,3.76,77.51,5
63024,29,"North Carolina","ARCOLA",16.43,3.6,75.97,5
63025,29,"North Carolina","YOUNGSVILLE",25.66,4.1,71.65,5
63026,29,"North Carolina","MADISON",22.27,5.39,73.79,5
63027,29,"North Carolina","COPELAND",20.16,7.64,74.02,5
63028,29,"North Carolina","CALL",20.71,11.66,75.19,5
63029,27,"North Carolina","GRANDY",6.2,27.77,91,5
63030,28,"North Carolina","CULLOWHEE",11.05,72.79,85.74,5
63031,28,"North Carolina","LINVILLE",9.14,60.82,87.46,5
63101,27,"North Carolina","SUPPLY",12.18,10.53,80.67,5
63106,27,"North Carolina","ROWLAND",12.7,4.39,81.88,5
63107,27,"North Carolina","MILLTAIL CR",2.59,66.52,94.9,5
63108,27,"North Carolina","REELSBORO",13.99,9.4,79.45,5
63109,27,"North Carolina","JAMESVILLE",10.41,4.8,83.26,5
63116,29,"North Carolina","MOORESVILLE 2",19.8,6.7,75.44,5
63118,29,"North Carolina","WACO",15.92,5.49,77.09,5
63119,29,"North Carolina","SAWMILL",21.66,3.61,73.03,5
63121,28,"North Carolina","OTEEN",8.3,39.8,88.32,5
63126,29,"North Carolina","EDEN",22.8,6.51,73.56,5
63202,27,"North Carolina","NEWPORT",13.64,8.94,79.36,5
63203,27,"North Carolina","CYPRESS CR",14.32,11.7,80.28,5
63204,27,"North Carolina","MAPLE HILL",12.31,13.35,80.64,5
63205,27,"North Carolina","MONTAGUE",12.95,3.21,80.05,5
63206,27,"North Carolina","ROSEBORO",16.98,2.5,77.29,5
63207,27,"North Carolina","HAMLET",24.72,1.24,71.89,5
63208,27,"North Carolina","MATTAMUSKEET",5.34,16.73,89.57,5
63210,27,"North Carolina","PINETOPS",15.2,1.46,79.26,5
63211,27,"North Carolina","RHEMS",13.02,3.94,80.1,5
63212,27,"North Carolina","COKESBURY",34.86,1.29,66.69,5
63213,27,"North Carolina","GENOA",16.15,11.8,79.25,5
63214,27,"North Carolina","SOUTH. PINES",20.91,12.77,74.06,5
63215,29,"North Carolina","BISCOE",18.31,29.51,78.07,5
63216,29,"North Carolina","WILGROVE",20.61,4.79,74.36,5
63217,29,"North Carolina","SHEFFIELD",17.39,5.05,77.2,5
63218,29,"North Carolina","HULLS XROADS",17.62,7.27,76.09,5
63219,29,"North Carolina","FLAY",17.12,5.95,76.23,5
63220,28,"North Carolina","MARSHALL",15.11,29.22,79.44,5
63221,28,"North Carolina","HENDERSONVIL",15.48,39.79,79.94,5
63222,28,"North Carolina","MURPHY",13.89,69.3,82.61,5
63223,27,"North Carolina","LLOYD XROADS",15.59,5.71,79.31,5
63224,27,"North Carolina","DORTCHES",17.9,7.51,77.66,5
63225,29,"North Carolina","DURHAM",19.84,8.75,77.01,5
63226,29,"North Carolina","MONTICELLO",19.9,4.6,75.63,5
63227,29,"North Carolina","FAIRVIEW",19.91,6.58,74.84,5
63228,28,"North Carolina","TODD",8.09,75.36,87.41,5
63229,27,"North Carolina","JARVISBURG",4.6,27.46,92.87,5
63230,27,"North Carolina","HERTFORD",13.65,4.19,80.86,5
63231,27,"North Carolina","JACKSON",14.5,5.07,79.08,5
63232,29,"North Carolina","BULLOCK",21.53,11.95,75.13,5
63233,29,"North Carolina","ASHLAND",20.53,8.45,75.65,5
63234,29,"North Carolina","MOUNT AIRY",19.15,37.46,76.77,5
63301,28,"North Carolina","STURGILLS",9.87,28.85,82.3,5
63302,29,"North Carolina","SILOAM",20.06,4.04,75.1,5
63303,29,"North Carolina","OSMOND",21.12,12.2,75.54,5
63304,29,"North Carolina","GUPTON",20.6,1.82,73.12,5
63305,27,"North Carolina","RHEASVILLE",23.98,1.77,72.48,5
63306,27,"North Carolina","OLD TRAP",6.93,15.24,88.92,5
63307,28,"North Carolina","PINELOG",11.54,60.22,85.71,5
63308,28,"North Carolina","FRENCH BROAD RIVER",7.43,37.01,89.63,5
63309,29,"North Carolina","MCGINNIS CROSSROAD",20.34,3.12,73.94,5
63310,29,"North Carolina","OSTWALT",18.4,2.12,76.45,5
63311,27,"North Carolina","JONES CORNER",13.76,3.62,79.42,5
63312,27,"North Carolina","DUDLEY",15.07,3.45,79.6,5
63313,27,"North Carolina","CONGLETON",11.7,2.13,81.47,5
63314,27,"North Carolina","LAKE SURF",20.77,13.5,74.26,5
63315,27,"North Carolina","BETHEL",17.64,7.72,77.45,5
63316,27,"North Carolina","CYPRESS LAKES",17.92,10.19,77.29,5
63317,27,"North Carolina","BELGRADE",14.98,7.75,78.51,5
63318,29,"North Carolina","GOLDSTON",17.67,7.07,76.96,5
63319,27,"North Carolina","ERNUL",11.92,9.13,80.86,5
63329,27,"North Carolina","JARVISBURG 2",3.95,42.35,93.36,5
63419,27,"North Carolina","CAYTON",11.66,9.58,81.2,5
63900,27,"North Carolina","RAEFORD",19.35,4.91,74.44,5
63902,27,"North Carolina","SHEEP RIDGE",11.17,35.26,84.03,5
63903,27,"North Carolina","BROAD CREEK",11.96,25.4,81.57,5
63904,29,"North Carolina","UWHARRIE NF",16.1,28.7,80.22,5
63905,27,"North Carolina","DISMAL SWAMP",3.93,65.77,93.87,5
63906,28,"North Carolina","WATERVILLE",5.75,57.33,92.42,5
63907,28,"North Carolina","N. MILLS RIV",5.16,89.41,93.26,5
63908,28,"North Carolina","BUSICK",5.52,87.84,92.54,5
63909,28,"North Carolina","TABLE ROCK",13.22,63.48,82.21,5
63910,28,"North Carolina","HIGHLANDS",12.4,66.67,82.01,5
63911,28,"North Carolina","KYLE",3.25,90.99,95.13,5
63912,28,"North Carolina","ANDREWS",8.48,82.09,89.46,5
63913,27,"North Carolina","WASHINGTON",8.65,35.4,84.9,5
63914,27,"North Carolina","GREEN SWAMP",9.29,17.47,83.16,5
63915,27,"North Carolina","SPRING HOPE",11.07,20.06,81.8,5
63916,29,"North Carolina","CHOWAN RIVER",13.43,7.36,80.01,5
63917,28,"North Carolina","CHEROKEE",5.48,79.29,92.13,5
64001,11,"North Dakota","FORMAN",6.83,21.9,87.68,5
64002,11,"North Dakota","WALCOTT",3.29,5.91,91.94,5
64003,11,"North Dakota","SYDNEY",5.7,6.2,87.58,5
64004,11,"North Dakota","EDGELEY",5.77,11.27,87.18,5
64005,11,"North Dakota","LAKE GEORGE",4.95,24.25,88.98,5
64006,11,"North Dakota","DANZIG",7.69,22.44,84.09,5
64007,11,"North Dakota","KEMPTON",4.24,38.62,91.17,5
64008,11,"North Dakota","EMERADO",8.13,11.58,85.69,5
64009,11,"North Dakota","COOPERSTOWN",7.73,7.86,84.7,5
64010,11,"North Dakota","WIMBLEDON",7.11,9.59,86.26,5
64011,11,"North Dakota","HORSEHEAD LK",7.19,13.96,86.08,5
64012,11,"North Dakota","BUCHANAN",7.41,11.29,87.04,5
64013,11,"North Dakota","BOWESMONT",2.82,12.71,92.11,5
64014,11,"North Dakota","NASH",2.28,26.3,93.6,5
64015,11,"North Dakota","LAKOTA",8.99,13.95,83.72,5
64016,11,"North Dakota","WEBSTER",5.99,41.06,90,5
64017,11,"North Dakota","ROLLA",6.19,23.45,89.73,5
64018,11,"North Dakota","NILES",6.91,45.67,88.11,5
64019,11,"North Dakota","REGAN",5.67,9.4,87.19,5
64020,17,"North Dakota","FT YATES",2.92,31.69,93.14,5
64021,17,"North Dakota","DICKINSON",5.61,19.64,86.83,5
64022,17,"North Dakota","DUNN CENTER",5.93,24.97,87.25,5
64023,11,"North Dakota","CARPIO",4.26,38.15,90.87,5
64024,11,"North Dakota","LORAINE",6.24,20.4,89.26,5
64025,17,"North Dakota","TOBACCO",12.55,38.82,84.14,5
64026,11,"North Dakota","STANLEY",5.27,36.45,88.09,5
